224	8202	8148	7815	8026	6567	7487	
225	8200	8147	7817	8025	6569	7485	
226	8197	8148	7817	8023	6569	7486	
227	8198	8148	7819	8024	6565	7490	
228	8200	8144	7813	8024	6573	7491	
229	8202	8145	7819	8027	6568	7488	
230	8200	8148	7814	8026	6568	7489	
231	8196	8147	7815	8023	6576	7489	
232	8202	8147	7817	8022	6571	7486	
233	8204	8147	7819	8024	6573	7488	
234	8202	8148	7818	8028	6577	7492	
235	8199	8146	7820	8026	6573	7491	
236	8198	8147	7816	8026	6577	7490	
237	8202	8149	7815	8025	6574	7493	
238	8200	8146	7816	8025	6577	7489	
239	8201	8146	7819	8022	6577	7494	
240	8200	8150	7820	8026	6581	7495	
241	8198	8146	7821	8027	6576	7497	
242	8200	8146	7817	8028	6577	7493	
243	8201	8146	7818	8026	6579	7496	
244	8201	8147	7819	8025	6582	7495	
245	8199	8143	7821	8027	6578	7497	
246	8198	8147	7818	8025	6579	7494	
247	8199	8149	7823	8027	6584	7497	
248	8200	8147	7817	8025	6582	7493	
249	8199	8147	7818	8025	6582	7493	
250	8202	8142	7825	8026	6583	7494	
251	8201	8149	7818	8025	6585	7494	
252	8200	8151	7816	8023	6586	7493	
253	8201	8147	7821	8022	6583	7501	
254	8199	8149	7818	8029	6588	7498	
255	8198	8152	7822	8026	6584	7498	
256	8197	8149	7818	8026	6586	7499	
257	8197	8146	7824	8027	6587	7501	
258	8196	8146	7822	8029	6591	7496	
259	8199	8152	7819	8025	6593	7500	
260	8200	8147	7821	8026	6594	7499	
261	8203	8147	7823	8029	6592	7500	
262	8199	8148	7820	8028	6595	7499	
263	8199	8147	7823	8028	6592	7500	
264	8201	8147	7819	8024	6593	7499	
265	8201	8150	7819	8028	6597	7500	
266	8199	8146	7822	8028	6596	7500	
267	8199	8147	7823	8025	6594	7498	
268	8200	8145	7824	8030	6598	7503	
269	8198	8149	7819	8030	6595	7504	
270	8201	8148	7824	8026	6598	7504	
271	8198	8148	7823	8029	6599	7501	
272	8197	8150	7823	8029	6600	7504	
273	8200	8148	7824	8027	6597	7507	
274	8201	8150	7822	8029	6600	7503	
275	8200	8148	7826	8030	6601	7503	
276	8202	8143	7825	8029	6603	7506	
277	8198	8146	7828	8030	6603	7506	
278	8199	8150	7826	8030	6600	7504	
279	8201	8147	7823	8027	6602	7505	
280	8200	8151	7822	8028	6606	7504	
281	8201	8147	7825	8029	6609	7506	
282	8201	8149	7820	8029	6606	7506	
283	8203	8146	7823	8029	6606	7505	
284	8199	8148	7824	8028	6607	7508	
285	8197	8152	7823	8033	6604	7507	
286	8202	8151	7824	8031	6610	7506	
287	8198	8148	7828	8031	6608	7507	
288	8201	8146	7822	8029	6610	7510	
289	8202	8142	7827	8029	6612	7504	
290	8197	8151	7823	8030	6612	7507	
291	8197	8146	7823	8027	6608	7511	
292	8207	8150	7829	8029	6612	7510	
293	8202	8145	7828	8027	6612	7508	
294	8199	8148	7830	8028	6615	7512	
295	8201	8148	7827	8027	6614	7511	
296	8202	8150	7826	8031	6617	7516	
297	8200	8142	7826	8028	6618	7512	
298	8202	8151	7826	8031	6622	7511	
299	8202	8148	7825	8029	6619	7516	
300	8197	8146	7829	8033	6621	7513	
301	8201	8148	7827	8029	6619	7517	
302	8198	8148	7829	8029	6616	7511	
303	8197	8147	7825	8033	6620	7514	
304	8196	8147	7826	8029	6621	7512	
305	8197	8147	7828	8031	6620	7517	
306	8201	8148	7827	8029	6622	7512	
